,年齡層,道路型態,車種,事故型態,群
1552,1,交岔路,機車,A2,0
1553,1,交岔路,小客車,A2,2
1554,1,交岔路,機車,A2,0
1555,2,交岔路,小客車,A2,2
1556,2,交岔路,機車,A2,0
1557,2,單路部分,小貨車(含客、貨兩用),A2,3
1558,0,交岔路,機車,A2,0
1559,2,交岔路,小客車,A2,2
1560,1,單路部分,小客車,A2,3
1561,1,交岔路,機車,A2,0
1562,0,交岔路,機車,A2,0
1563,1,交岔路,小貨車(含客、貨兩用),A2,2
1564,1,交岔路,小客車,A2,2
1565,2,交岔路,機車,A2,0
1566,2,交岔路,機車,A2,0
1567,1,單路部分,機車,A2,1
1568,2,交岔路,機車,A2,0
1569,2,交岔路,機車,A2,0
1570,1,交岔路,小客車,A2,2
1571,2,交岔路,小客車,A2,2
1572,2,單路部分,小客車,A2,3
1573,1,單路部分,機車,A2,1
1574,1,單路部分,機車,A2,1
1575,1,單路部分,機車,A2,1
1576,1,交岔路,機車,A2,0
1577,0,交岔路,機車,A2,0
1578,0,單路部分,小客車,A2,3
1579,2,單路部分,慢車,A2,3
1580,1,交岔路,機車,A2,0
1581,1,交岔路,機車,A2,0
1582,2,交岔路,,A2,0
1583,1,交岔路,機車,A2,0
1584,0,單路部分,機車,A2,1
1585,0,單路部分,機車,A2,1
1586,1,交岔路,機車,A2,0
1587,0,交岔路,機車,A2,0
1588,0,單路部分,機車,A2,1
1589,2,交岔路,機車,A2,0
1590,2,交岔路,機車,A2,0
1591,2,交岔路,小客車,A2,2
1592,0,交岔路,小客車,A2,2
1593,1,交岔路,機車,A2,0
1594,2,交岔路,小客車,A2,2
1595,0,交岔路,機車,A2,0
1596,1,單路部分,小貨車(含客、貨兩用),A2,3
1597,1,單路部分,小客車,A2,3
1598,0,交岔路,小客車,A2,2
1599,0,交岔路,機車,A2,0
1600,2,交岔路,小客車,A2,2
1601,2,交岔路,機車,A2,0
1602,1,單路部分,小客車,A2,3
1603,1,單路部分,機車,A2,1
1604,0,交岔路,機車,A2,0
1605,1,單路部分,小貨車(含客、貨兩用),A2,3
1606,2,交岔路,機車,A2,0
1607,2,交岔路,機車,A2,0
1608,1,交岔路,機車,A2,0
1609,1,交岔路,機車,A2,0
1610,1,交岔路,小客車,A2,2
1611,1,單路部分,機車,A2,1
1612,1,交岔路,機車,A2,0
1613,1,交岔路,機車,A2,0
1614,0,交岔路,機車,A2,0
1615,0,單路部分,機車,A2,1
1616,1,交岔路,機車,A2,0
1617,1,單路部分,機車,A2,1
1618,1,交岔路,小客車,A2,2
1619,0,單路部分,機車,A2,1
1620,1,單路部分,小貨車(含客、貨兩用),A2,3
1621,0,交岔路,機車,A2,0
1622,2,交岔路,小客車,A2,2
1623,0,交岔路,機車,A2,0
1624,2,交岔路,小客車,A2,2
1625,2,單路部分,機車,A2,1
1626,0,交岔路,機車,A2,0
1627,0,交岔路,機車,A2,0
1628,2,交岔路,機車,A2,0
1629,1,交岔路,小客車,A2,2
1630,2,單路部分,機車,A2,1
1631,0,單路部分,機車,A2,1
1632,1,交岔路,小客車,A2,2
1633,1,單路部分,小客車,A2,3
1634,0,交岔路,機車,A2,0
1635,1,單路部分,機車,A2,1
1636,0,交岔路,機車,A2,0
1637,2,單路部分,機車,A2,1
1638,2,交岔路,機車,A2,0
1639,1,單路部分,小客車,A2,3
1640,0,單路部分,機車,A2,1
1641,1,單路部分,小貨車(含客、貨兩用),A2,3
1642,1,單路部分,機車,A2,1
1643,1,單路部分,機車,A2,1
1644,2,交岔路,機車,A2,0
1645,1,單路部分,小客車,A2,3
1646,2,交岔路,小客車,A2,2
1647,2,單路部分,機車,A2,1
1648,2,交岔路,機車,A2,0
1649,1,單路部分,大貨車,A2,1
1650,2,交岔路,小貨車(含客、貨兩用),A2,2
1651,1,單路部分,機車,A2,1
1652,0,交岔路,小客車,A2,2
1653,1,交岔路,機車,A2,0
1654,0,單路部分,機車,A2,1
1655,1,單路部分,小客車,A2,3
1656,0,單路部分,機車,A2,1
1657,1,交岔路,機車,A2,0
1658,1,單路部分,機車,A2,1
1659,1,交岔路,機車,A2,0
1660,1,交岔路,機車,A2,0
1661,2,單路部分,,A2,1
1662,1,單路部分,小貨車(含客、貨兩用),A2,3
1663,0,交岔路,機車,A2,0
1664,1,交岔路,機車,A2,0
1665,0,單路部分,機車,A2,1
1666,0,交岔路,機車,A2,0
1667,2,單路部分,機車,A2,1
1668,1,交岔路,機車,A2,0
1669,1,交岔路,小客車,A2,2
1670,0,單路部分,機車,A2,1
1671,0,單路部分,機車,A2,1
1672,0,交岔路,機車,A2,0
1673,0,單路部分,慢車,A2,3
1674,0,單路部分,機車,A2,1
1675,0,交岔路,機車,A2,0
1676,0,交岔路,小客車,A2,2
1677,0,交岔路,小客車,A2,2
1678,2,交岔路,機車,A2,0
1679,1,單路部分,小客車,A2,3
1680,1,交岔路,小客車,A2,2
1681,2,單路部分,機車,A2,1
1682,2,單路部分,小貨車(含客、貨兩用),A2,3
1683,0,交岔路,機車,A2,0
1684,0,交岔路,機車,A2,0
1685,0,交岔路,機車,A2,0
1686,1,單路部分,機車,A2,1
1687,1,交岔路,小客車,A2,2
1688,2,交岔路,機車,A2,0
1689,1,交岔路,小客車,A2,2
1690,1,單路部分,機車,A2,1
1691,0,交岔路,小客車,A2,2
1692,1,交岔路,小客車,A2,2
1693,2,交岔路,小客車,A2,2
1694,0,交岔路,機車,A2,0
1695,0,交岔路,機車,A2,0
1696,2,交岔路,,A2,0
1697,0,交岔路,小客車,A2,2
1698,0,交岔路,機車,A2,0
1699,1,交岔路,機車,A2,0
1700,1,單路部分,機車,A2,1
1701,1,交岔路,小客車,A2,2
1702,1,單路部分,機車,A2,1
1703,2,交岔路,機車,A2,0
1704,2,交岔路,小貨車(含客、貨兩用),A2,2
1705,1,單路部分,機車,A2,1
1706,0,交岔路,機車,A2,0
1707,1,交岔路,小客車,A2,2
1708,2,交岔路,小客車,A2,2
1709,0,交岔路,機車,A2,0
1710,1,交岔路,機車,A2,0
1711,1,單路部分,小客車,A2,3
1712,1,交岔路,小客車,A2,2
1713,1,交岔路,機車,A2,0
1714,1,交岔路,機車,A2,0
1715,1,交岔路,機車,A2,0
1716,1,單路部分,機車,A2,1
1717,1,單路部分,機車,A2,1
1718,0,交岔路,機車,A2,0
1719,0,單路部分,機車,A2,1
1720,2,交岔路,小客車,A2,2
1721,1,單路部分,小客車,A2,3
1722,2,交岔路,小客車,A2,2
1723,1,交岔路,機車,A2,0
1724,1,交岔路,機車,A2,0
1725,0,單路部分,機車,A2,1
1726,0,交岔路,機車,A2,0
1727,2,單路部分,慢車,A2,3
1728,0,交岔路,機車,A2,0
1729,2,單路部分,機車,A2,1
1730,0,單路部分,機車,A2,1
1731,1,交岔路,機車,A2,0
1732,0,單路部分,機車,A2,1
1733,1,交岔路,機車,A2,0
1734,0,交岔路,機車,A2,0
1735,0,交岔路,機車,A2,0
1736,0,單路部分,機車,A2,1
1737,1,單路部分,機車,A2,1
1738,1,單路部分,機車,A2,1
1739,2,交岔路,小客車,A2,2
1740,0,單路部分,小客車,A2,3
1741,0,單路部分,慢車,A2,3
1742,2,單路部分,機車,A2,1
1743,0,交岔路,小客車,A2,2
1744,1,單路部分,機車,A2,1
1745,0,單路部分,機車,A2,1
1746,2,單路部分,,A2,1
1747,1,單路部分,機車,A2,1
1748,0,交岔路,機車,A2,0
1749,0,交岔路,機車,A2,0
1750,1,交岔路,機車,A2,0
1751,1,單路部分,小貨車(含客、貨兩用),A2,3
1752,2,交岔路,小貨車(含客、貨兩用),A2,2
1753,2,交岔路,機車,A2,0
1754,0,單路部分,小客車,A2,3
1755,0,交岔路,機車,A2,0
1756,0,單路部分,人,A2,3
1757,0,交岔路,機車,A2,0
1758,2,交岔路,機車,A2,0
1759,0,單路部分,機車,A2,1
1760,0,交岔路,機車,A2,0
1761,2,單路部分,機車,A2,1
1762,1,交岔路,機車,A2,0
1763,2,單路部分,機車,A2,1
1764,1,交岔路,小客車,A2,2
1765,0,交岔路,機車,A2,0
1766,0,單路部分,機車,A2,1
1767,1,交岔路,小客車,A2,2
1768,0,交岔路,機車,A2,0
1769,1,交岔路,機車,A2,0
1770,0,單路部分,機車,A2,1
1771,0,交岔路,機車,A2,0
1772,1,交岔路,機車,A2,0
1773,1,單路部分,機車,A2,1
1774,1,交岔路,機車,A2,0
1775,2,交岔路,機車,A2,0
1776,2,交岔路,小客車,A2,2
1777,1,交岔路,小客車,A2,2
1778,2,單路部分,機車,A2,1
1779,0,單路部分,機車,A2,1
1780,2,單路部分,機車,A2,1
1781,0,單路部分,機車,A2,1
1782,1,交岔路,機車,A2,0
1783,1,交岔路,機車,A2,0
1784,0,交岔路,機車,A2,0
1785,1,單路部分,機車,A2,1
1786,0,交岔路,機車,A2,0
1787,1,交岔路,機車,A2,0
1788,1,單路部分,機車,A2,1
1789,1,單路部分,機車,A2,1
1790,0,單路部分,機車,A2,1
1791,2,交岔路,小客車,A2,2
1792,1,交岔路,機車,A2,0
1793,1,交岔路,小客車,A2,2
1794,1,交岔路,機車,A2,0
1795,0,單路部分,機車,A2,1
1796,1,交岔路,小客車,A2,2
1797,1,交岔路,小客車,A2,2
1798,0,交岔路,機車,A2,0
1799,0,單路部分,機車,A2,1
1800,0,交岔路,機車,A2,0
1801,2,單路部分,機車,A2,1
1802,2,交岔路,小客車,A2,2
1803,0,交岔路,機車,A2,0
1804,1,交岔路,小客車,A2,2
1805,2,交岔路,機車,A2,0
1806,1,交岔路,小客車,A2,2
1807,1,單路部分,機車,A2,1
1808,2,交岔路,,A2,0
1809,1,交岔路,機車,A2,0
1810,2,單路部分,小客車,A2,3
1811,0,交岔路,機車,A2,0
1812,2,交岔路,機車,A2,0
1813,1,交岔路,機車,A2,0
1814,0,交岔路,機車,A2,0
1815,2,交岔路,小客車,A2,2
1816,0,單路部分,小貨車(含客、貨兩用),A2,3
1817,1,單路部分,小客車,A2,3
1818,2,單路部分,機車,A2,1
1819,1,交岔路,小客車,A2,2
1820,2,交岔路,小客車,A2,2
1821,2,交岔路,機車,A2,0
1822,1,單路部分,小客車,A2,3
1823,1,交岔路,機車,A2,0
1824,1,交岔路,機車,A2,0
1825,1,交岔路,機車,A2,0
1826,1,交岔路,機車,A2,0
1827,2,交岔路,,A2,0
1828,2,交岔路,機車,A2,0
1829,0,交岔路,機車,A2,0
1830,2,單路部分,人,A2,3
1831,2,交岔路,機車,A2,0
1832,0,交岔路,小客車,A2,2
1833,0,交岔路,小客車,A2,2
1834,0,交岔路,機車,A2,0
1835,1,交岔路,小貨車(含客、貨兩用),A2,2
1836,1,交岔路,小客車,A2,2
1837,0,交岔路,機車,A2,0
1838,1,單路部分,慢車,A2,3
1839,2,單路部分,,A2,1
1840,2,交岔路,機車,A2,0
1841,1,交岔路,小貨車(含客、貨兩用),A2,2
1842,1,單路部分,機車,A2,1
1843,0,交岔路,機車,A2,0
1844,1,交岔路,機車,A2,0
1845,0,交岔路,機車,A2,0
1846,1,單路部分,機車,A2,1
1847,1,交岔路,小客車,A2,2
1848,2,單路部分,機車,A2,1
1849,0,單路部分,小客車,A2,3
1850,2,交岔路,機車,A2,0
1851,1,交岔路,機車,A2,0
1852,1,單路部分,機車,A2,1
1853,1,單路部分,機車,A2,1
1854,1,交岔路,小客車,A2,2
1855,2,單路部分,,A2,1
1856,1,交岔路,機車,A2,0
1857,0,單路部分,機車,A2,1
1858,2,單路部分,人,A2,3
1859,0,交岔路,機車,A2,0
1860,0,單路部分,機車,A2,1
1861,2,交岔路,機車,A2,0
1862,1,交岔路,大客車,A2,0
1863,1,交岔路,小客車,A2,2
1864,0,單路部分,機車,A2,1
1865,1,單路部分,大貨車,A2,1
1866,2,交岔路,,A2,0
1867,1,單路部分,小客車,A2,3
1868,0,交岔路,機車,A2,0
1869,0,單路部分,機車,A2,1
1870,2,單路部分,,A2,1
1871,2,單路部分,機車,A2,1
1872,0,交岔路,機車,A2,0
1873,2,交岔路,,A2,0
1874,1,單路部分,小客車,A2,3
1875,1,單路部分,小客車,A2,3
1876,1,交岔路,小客車,A2,2
1877,1,交岔路,大客車,A2,0
1878,2,交岔路,機車,A2,0
1879,2,交岔路,機車,A2,0
1880,2,交岔路,小客車,A2,2
1881,1,交岔路,小客車,A2,2
1882,1,交岔路,機車,A2,0
1883,0,交岔路,機車,A2,0
1884,0,交岔路,小客車,A2,2
1885,2,交岔路,小客車,A2,2
1886,1,交岔路,機車,A2,0
1887,0,交岔路,慢車,A2,2
1888,0,交岔路,小客車,A2,2
1889,0,交岔路,小客車,A2,2
1890,0,交岔路,機車,A2,0
1891,2,單路部分,小客車,A2,3
1892,0,單路部分,機車,A2,1
1893,1,交岔路,機車,A2,0
1894,1,交岔路,機車,A2,0
1895,2,單路部分,小客車,A2,3
1896,2,交岔路,,A2,0
1897,1,交岔路,小客車,A2,2
1898,2,交岔路,小客車,A2,2
1899,1,交岔路,小客車,A2,2
1900,2,交岔路,小客車,A2,2
1901,2,交岔路,機車,A2,0
1902,1,交岔路,小客車,A2,2
1903,1,單路部分,小客車,A2,3
1904,1,交岔路,機車,A2,0
1905,1,單路部分,機車,A2,1
1906,1,單路部分,小客車,A2,3
1907,2,單路部分,機車,A2,1
1908,1,交岔路,機車,A2,0
1909,2,交岔路,小客車,A2,2
1910,0,單路部分,小客車,A2,3
1911,2,交岔路,機車,A2,0
1912,2,交岔路,,A2,0
1913,1,單路部分,小客車,A2,3
1914,0,單路部分,機車,A2,1
1915,1,單路部分,機車,A2,1
1916,1,交岔路,小客車,A2,2
1917,2,交岔路,,A2,0
1918,1,單路部分,小客車,A2,3
1919,1,交岔路,小客車,A2,2
1920,1,交岔路,小客車,A2,2
1921,1,單路部分,小客車,A2,3
1922,1,交岔路,小客車,A2,2
1923,1,單路部分,慢車,A2,3
1924,1,單路部分,小客車,A2,3
1925,0,單路部分,機車,A2,1
1926,1,交岔路,小客車,A2,2
1927,2,交岔路,,A2,0
1928,1,交岔路,機車,A2,0
1929,0,單路部分,機車,A2,1
1930,2,單路部分,,A2,1
1931,0,交岔路,機車,A2,0
1932,0,交岔路,機車,A2,0
1933,1,交岔路,小客車,A2,2
1934,2,交岔路,小貨車(含客、貨兩用),A2,2
1935,1,交岔路,機車,A2,0
1936,1,單路部分,小客車,A2,3
1937,0,交岔路,機車,A2,0
1938,2,交岔路,小貨車(含客、貨兩用),A2,2
1939,2,交岔路,機車,A2,0
1940,1,交岔路,機車,A2,0
1941,0,交岔路,機車,A2,0
1942,2,交岔路,機車,A2,0
1943,1,交岔路,小客車,A2,2
1944,0,交岔路,機車,A2,0
1945,2,交岔路,機車,A2,0
1946,1,交岔路,機車,A2,0
1947,2,交岔路,機車,A2,0
1948,2,交岔路,慢車,A2,2
1949,1,單路部分,小客車,A2,3
1950,1,單路部分,機車,A2,1
1951,1,交岔路,機車,A2,0
1952,2,交岔路,小客車,A2,2
1953,0,交岔路,機車,A2,0
1954,2,交岔路,機車,A2,0
1955,1,單路部分,機車,A2,1
1956,0,交岔路,機車,A2,0
1957,1,交岔路,小客車,A2,2
1958,0,交岔路,機車,A2,0
1959,0,交岔路,機車,A2,0
1960,1,交岔路,機車,A2,0
1961,2,交岔路,機車,A2,0
1962,2,單路部分,機車,A2,1
1963,0,單路部分,機車,A2,1
1964,1,交岔路,機車,A2,0
1965,1,交岔路,機車,A2,0
1966,1,交岔路,機車,A2,0
1967,0,交岔路,機車,A2,0
1968,0,交岔路,小客車,A2,2
1969,1,交岔路,小客車,A2,2
1970,0,單路部分,機車,A2,1
1971,2,交岔路,機車,A2,0
1972,0,交岔路,機車,A2,0
1973,1,交岔路,機車,A2,0
1974,1,交岔路,機車,A2,0
1975,1,交岔路,機車,A2,0
1976,0,交岔路,機車,A2,0
1977,2,交岔路,機車,A2,0
1978,0,交岔路,機車,A2,0
1979,1,交岔路,小客車,A2,2
1980,1,交岔路,小客車,A2,2
1981,2,單路部分,,A2,1
1982,0,交岔路,機車,A2,0
1983,2,單路部分,慢車,A2,3
1984,0,單路部分,機車,A2,1
1985,2,交岔路,機車,A2,0
1986,2,交岔路,小客車,A2,2
1987,1,單路部分,機車,A2,1
1988,2,交岔路,機車,A2,0
1989,0,單路部分,機車,A2,1
1990,0,交岔路,機車,A2,0
1991,1,交岔路,機車,A2,0
1992,1,交岔路,機車,A2,0
1993,1,交岔路,機車,A2,0
1994,1,交岔路,機車,A2,0
1995,0,交岔路,小客車,A2,2
1996,0,交岔路,機車,A2,0
1997,1,單路部分,小客車,A2,3
1998,1,單路部分,機車,A2,1
1999,2,交岔路,機車,A2,0
2000,0,交岔路,機車,A2,0
2001,1,交岔路,機車,A2,0
2002,0,交岔路,機車,A2,0
2003,0,單路部分,機車,A2,1
2004,2,單路部分,機車,A2,1
2005,0,單路部分,小客車,A2,3
2006,2,交岔路,機車,A2,0
2007,0,交岔路,機車,A2,0
2008,0,交岔路,機車,A2,0
2009,0,交岔路,機車,A2,0
2010,2,交岔路,小客車,A2,2
2011,1,單路部分,機車,A2,1
2012,0,單路部分,小客車,A2,3
2013,1,單路部分,機車,A2,1
2014,1,交岔路,機車,A2,0
2015,1,交岔路,機車,A2,0
2016,1,交岔路,機車,A2,0
2017,1,單路部分,機車,A2,1
2018,2,單路部分,小客車,A2,3
2019,1,單路部分,小客車,A2,3
2020,1,單路部分,機車,A2,1
2021,2,單路部分,小客車,A2,3
2022,0,交岔路,機車,A2,0
2023,1,單路部分,機車,A2,1
2024,0,交岔路,機車,A2,0
2025,2,單路部分,機車,A2,1
2026,2,交岔路,機車,A2,0
2027,0,交岔路,機車,A2,0
2028,1,交岔路,機車,A2,0
2029,0,交岔路,小客車,A2,2
2030,1,交岔路,機車,A2,0
2031,1,交岔路,機車,A2,0
2032,1,交岔路,小客車,A2,2
2033,1,單路部分,小客車,A2,3
2034,1,交岔路,小客車,A2,2
2035,0,交岔路,小客車,A2,2
2036,2,交岔路,機車,A2,0
2037,1,單路部分,機車,A2,1
2038,1,單路部分,小客車,A2,3
2039,1,單路部分,機車,A2,1
2040,1,交岔路,機車,A2,0
2041,0,交岔路,機車,A2,0
2042,2,交岔路,機車,A2,0
2043,2,交岔路,機車,A2,0
2044,0,單路部分,機車,A2,1
2045,1,交岔路,機車,A2,0
2046,1,交岔路,機車,A2,0
2047,1,單路部分,小客車,A2,3
2048,2,交岔路,小客車,A2,2
2049,0,交岔路,小客車,A2,2
2050,0,單路部分,機車,A2,1
2051,2,交岔路,小客車,A2,2
2052,1,交岔路,機車,A2,0
2053,2,交岔路,機車,A2,0
2054,1,交岔路,機車,A2,0
2055,1,單路部分,,A2,1
2056,2,交岔路,小客車,A2,2
2057,1,單路部分,,A2,1
2058,0,交岔路,慢車,A2,2
2059,0,單路部分,機車,A2,1
2060,2,交岔路,小客車,A2,2
2061,0,交岔路,機車,A2,0
2062,1,交岔路,小客車,A2,2
2063,1,交岔路,小客車,A2,2
2064,1,交岔路,小客車,A2,2
2065,1,交岔路,機車,A2,0
2066,2,單路部分,機車,A2,1
2067,1,交岔路,小貨車(含客、貨兩用),A2,2
2068,1,交岔路,機車,A2,0
2069,2,單路部分,機車,A2,1
2070,0,單路部分,機車,A2,1
2071,2,單路部分,小客車,A2,3
2072,0,交岔路,機車,A2,0
2073,1,單路部分,小客車,A2,3
2074,2,單路部分,機車,A2,1
2075,0,單路部分,小客車,A2,3
2076,1,交岔路,,A2,0
2077,1,交岔路,小客車,A2,2
2078,0,交岔路,機車,A2,0
2079,0,交岔路,機車,A2,0
2080,1,交岔路,機車,A2,0
2081,2,交岔路,機車,A2,0
2082,2,交岔路,機車,A2,0
2083,1,交岔路,機車,A2,0
2084,1,單路部分,小貨車(含客、貨兩用),A2,3
2085,1,交岔路,機車,A2,0
2086,1,交岔路,機車,A2,0
2087,0,單路部分,小客車,A2,3
2088,0,交岔路,機車,A2,0
2089,1,交岔路,機車,A2,0
2090,0,交岔路,機車,A2,0
2091,0,單路部分,機車,A2,1
2092,1,交岔路,小客車,A2,2
2093,1,單路部分,小客車,A2,3
2094,1,交岔路,小客車,A2,2
2095,2,交岔路,機車,A2,0
2096,1,交岔路,小客車,A2,2
2097,0,單路部分,機車,A2,1
2098,1,交岔路,機車,A2,0
2099,1,交岔路,小客車,A2,2
2100,0,交岔路,機車,A2,0
2101,2,交岔路,小客車,A2,2
2102,1,交岔路,機車,A2,0
2103,1,交岔路,機車,A2,0
2104,2,單路部分,小客車,A2,3
2105,0,單路部分,小客車,A2,3
2106,0,單路部分,機車,A2,1
2107,0,交岔路,機車,A2,0
2108,0,交岔路,機車,A2,0
2109,0,交岔路,機車,A2,0
2110,0,單路部分,機車,A2,1
2111,0,單路部分,機車,A2,1
2112,1,交岔路,小客車,A2,2
2113,0,單路部分,機車,A2,1
2114,0,交岔路,機車,A2,0
2115,1,單路部分,小客車,A2,3
2116,1,單路部分,機車,A2,1
2117,0,交岔路,小客車,A2,2
2118,0,單路部分,機車,A2,1
2119,0,單路部分,小貨車(含客、貨兩用),A2,3
2120,1,單路部分,機車,A2,1
2121,1,交岔路,小貨車(含客、貨兩用),A2,2
2122,2,單路部分,機車,A2,1
2123,2,單路部分,機車,A2,1
2124,1,交岔路,機車,A2,0
2125,2,單路部分,機車,A2,1
2126,1,交岔路,小客車,A2,2
2127,0,單路部分,機車,A2,1
2128,0,交岔路,機車,A2,0
2129,0,單路部分,機車,A2,1
2130,0,交岔路,小客車,A2,2
2131,0,單路部分,機車,A2,1
2132,1,單路部分,機車,A2,1
2133,1,交岔路,機車,A2,0
2134,1,單路部分,機車,A2,1
2135,2,交岔路,機車,A2,0
2136,1,交岔路,機車,A2,0
2137,1,單路部分,機車,A2,1
2138,1,交岔路,小客車,A2,2
2139,1,交岔路,機車,A2,0
2140,2,交岔路,小客車,A2,2
2141,0,單路部分,機車,A2,1
2142,1,交岔路,機車,A2,0
2143,2,單路部分,小客車,A2,3
2144,1,交岔路,機車,A2,0
2145,0,交岔路,機車,A2,0
2146,0,交岔路,機車,A2,0
2147,2,單路部分,機車,A2,1
2148,2,交岔路,機車,A2,0
2149,1,交岔路,機車,A2,0
2150,0,交岔路,機車,A2,0
2151,1,交岔路,機車,A2,0
2152,1,交岔路,機車,A2,0
2153,0,交岔路,機車,A2,0
2154,1,交岔路,機車,A2,0
2155,0,交岔路,機車,A2,0
2156,2,交岔路,小客車,A2,2
2157,2,交岔路,機車,A2,0
2158,1,單路部分,小客車,A2,3
2159,1,單路部分,小客車,A2,3
2160,0,單路部分,機車,A2,1
2161,0,單路部分,小貨車(含客、貨兩用),A2,3
2162,2,交岔路,,A2,0
2163,1,交岔路,機車,A2,0
2164,2,單路部分,慢車,A2,3
2165,1,交岔路,機車,A2,0
2166,0,交岔路,小客車,A2,2
2167,2,單路部分,機車,A2,1
2168,0,交岔路,機車,A2,0
2169,1,單路部分,機車,A2,1
2170,2,交岔路,小客車,A2,2
2171,1,交岔路,小客車,A2,2
2172,1,交岔路,機車,A2,0
2173,2,單路部分,機車,A2,1
2174,1,交岔路,機車,A2,0
2175,1,單路部分,機車,A2,1
2176,0,交岔路,機車,A2,0
2177,2,交岔路,機車,A2,0
2178,2,單路部分,,A2,1
2179,0,單路部分,機車,A2,1
2180,0,交岔路,機車,A2,0
2181,1,交岔路,小客車,A2,2
2182,1,交岔路,機車,A2,0
2183,2,交岔路,機車,A2,0
2184,2,單路部分,機車,A2,1
2185,0,交岔路,慢車,A2,2
2186,1,交岔路,小客車,A2,2
2187,2,交岔路,機車,A2,0
2188,1,交岔路,機車,A2,0
2189,2,交岔路,機車,A2,0
2190,0,單路部分,機車,A2,1
2191,1,交岔路,小客車,A2,2
2192,2,單路部分,小客車,A2,3
2193,0,交岔路,機車,A2,0
2194,2,單路部分,機車,A2,1
2195,1,單路部分,機車,A2,1
2196,0,交岔路,機車,A2,0
2197,1,交岔路,小客車,A2,2
2198,1,交岔路,小客車,A2,2
2199,0,交岔路,機車,A2,0
2200,1,單路部分,小客車,A2,3
2201,1,單路部分,機車,A2,1
2202,0,交岔路,小客車,A2,2
2203,1,交岔路,機車,A2,0
2204,1,交岔路,小客車,A2,2
2205,0,單路部分,機車,A2,1
2206,0,交岔路,機車,A2,0
2207,1,單路部分,機車,A2,1
2208,1,單路部分,小客車,A2,3
2209,0,交岔路,機車,A2,0
2210,2,交岔路,機車,A2,0
2211,0,單路部分,機車,A2,1
2212,2,單路部分,機車,A2,1
2213,1,交岔路,機車,A2,0
2214,2,單路部分,小客車,A2,3
2215,1,交岔路,小客車,A2,2
2216,1,交岔路,小客車,A2,2
2217,0,交岔路,機車,A2,0
2218,1,交岔路,慢車,A2,2
2219,2,交岔路,小客車,A2,2
2220,0,交岔路,機車,A2,0
2221,0,交岔路,機車,A2,0
2222,0,單路部分,機車,A2,1
2223,0,單路部分,小客車,A2,3
2224,2,單路部分,機車,A2,1
2225,2,單路部分,機車,A2,1
2226,0,交岔路,機車,A2,0
2227,2,單路部分,小客車,A2,3
2228,0,單路部分,機車,A2,1
2229,1,交岔路,機車,A2,0
2230,1,交岔路,小貨車(含客、貨兩用),A2,2
2231,1,交岔路,小客車,A2,2
2232,0,交岔路,小客車,A2,2
2233,1,交岔路,小客車,A2,2
2234,0,單路部分,機車,A2,1
2235,2,單路部分,機車,A2,1
2236,1,單路部分,機車,A2,1
2237,2,交岔路,機車,A2,0
2238,2,交岔路,慢車,A2,2
2239,1,交岔路,機車,A2,0
2240,0,交岔路,機車,A2,0
2241,1,單路部分,機車,A2,1
2242,0,交岔路,機車,A2,0
2243,1,交岔路,機車,A2,0
2244,0,交岔路,機車,A2,0
2245,1,交岔路,機車,A2,0
2246,1,單路部分,機車,A2,1
2247,1,交岔路,小客車,A2,2
2248,1,交岔路,小客車,A2,2
2249,2,交岔路,慢車,A2,2
2250,1,交岔路,機車,A2,0
2251,1,交岔路,人,A2,2
2252,1,交岔路,小客車,A2,2
2253,1,交岔路,機車,A2,0
2254,1,單路部分,機車,A2,1
2255,1,單路部分,機車,A2,1
2256,1,交岔路,機車,A2,0
2257,1,交岔路,小客車,A2,2
2258,0,單路部分,慢車,A2,3
2259,1,單路部分,機車,A2,1
2260,0,單路部分,機車,A2,1
2261,1,交岔路,機車,A2,0
2262,0,交岔路,機車,A2,0
2263,2,單路部分,機車,A2,1
2264,0,單路部分,機車,A2,1
2265,2,交岔路,慢車,A2,2
2266,1,單路部分,小客車,A2,3
2267,1,交岔路,小客車,A2,2
2268,1,交岔路,機車,A2,0
2269,1,單路部分,機車,A2,1
2270,0,交岔路,機車,A2,0
2271,1,交岔路,機車,A2,0
2272,0,交岔路,機車,A2,0
2273,1,交岔路,機車,A2,0
2274,2,交岔路,機車,A2,0
2275,0,單路部分,機車,A2,1
2276,2,交岔路,小客車,A2,2
2277,1,交岔路,機車,A2,0
2278,2,單路部分,小客車,A2,3
2279,0,交岔路,慢車,A2,2
2280,0,交岔路,機車,A2,0
2281,1,單路部分,小客車,A2,3
2282,0,單路部分,機車,A2,1
2283,2,交岔路,機車,A2,0
2284,1,交岔路,小客車,A2,2
2285,0,交岔路,機車,A2,0
2286,2,單路部分,小客車,A2,3
2287,1,交岔路,機車,A2,0
2288,2,單路部分,小客車,A2,3
2289,0,單路部分,機車,A2,1
2290,1,交岔路,機車,A2,0
2291,0,交岔路,小客車,A2,2
2292,0,單路部分,機車,A2,1
2293,0,單路部分,機車,A2,1
2294,1,交岔路,小客車,A2,2
2295,1,單路部分,小客車,A2,3
2296,2,交岔路,機車,A2,0
2297,0,單路部分,機車,A2,1
2298,2,交岔路,小客車,A2,2
2299,1,交岔路,小客車,A2,2
2300,1,交岔路,機車,A2,0
2301,1,單路部分,小客車,A2,3
2302,1,交岔路,機車,A2,0
2303,0,單路部分,慢車,A2,3
