,年齡層,道路型態,車種,事故型態,群
375,1,交岔路,機車,A2,0
376,2,單路部分,機車,A2,1
377,1,單路部分,機車,A2,1
378,2,交岔路,機車,A2,0
379,1,交岔路,機車,A2,0
380,0,單路部分,小客車,A2,3
381,0,單路部分,機車,A2,1
382,0,交岔路,機車,A2,0
383,1,交岔路,機車,A2,0
384,1,單路部分,機車,A2,1
385,0,交岔路,機車,A2,0
386,1,交岔路,機車,A2,0
387,1,交岔路,機車,A2,0
388,1,交岔路,小貨車(含客、貨兩用),A2,2
389,1,交岔路,機車,A2,0
390,2,單路部分,,A2,1
391,1,單路部分,機車,A2,1
392,2,交岔路,機車,A2,0
393,2,單路部分,小客車,A2,3
394,2,交岔路,慢車,A2,2
395,2,交岔路,慢車,A2,2
396,0,交岔路,機車,A2,0
397,1,單路部分,機車,A2,1
398,2,交岔路,機車,A2,0
399,1,單路部分,機車,A2,1
400,0,單路部分,機車,A2,1
401,1,交岔路,小客車,A2,2
402,0,交岔路,小貨車(含客、貨兩用),A2,2
403,1,交岔路,機車,A2,0
404,0,單路部分,機車,A2,1
405,1,交岔路,機車,A2,0
406,2,單路部分,慢車,A2,3
407,2,單路部分,機車,A2,1
408,2,交岔路,機車,A2,0
409,2,交岔路,機車,A2,0
410,1,交岔路,機車,A2,0
411,1,單路部分,機車,A2,1
412,1,交岔路,機車,A2,0
413,0,單路部分,機車,A2,1
414,1,交岔路,機車,A2,0
415,1,交岔路,小客車,A2,2
416,2,單路部分,機車,A2,1
417,2,交岔路,小客車,A2,2
418,2,交岔路,機車,A2,0
419,1,交岔路,小客車,A2,2
420,0,交岔路,小客車,A2,2
421,0,單路部分,機車,A2,1
422,1,交岔路,機車,A2,0
423,1,單路部分,小客車,A2,3
424,0,交岔路,機車,A2,0
425,0,交岔路,機車,A2,0
426,1,交岔路,小客車,A2,2
427,2,交岔路,機車,A2,0
428,2,交岔路,機車,A2,0
429,1,交岔路,機車,A2,0
430,0,交岔路,機車,A2,0
431,1,交岔路,機車,A2,0
432,1,交岔路,機車,A2,0
433,1,交岔路,機車,A2,0
434,2,單路部分,機車,A2,1
435,1,交岔路,小客車,A2,2
436,0,交岔路,機車,A2,0
437,1,交岔路,機車,A2,0
438,2,交岔路,機車,A2,0
439,1,交岔路,機車,A2,0
440,0,交岔路,機車,A2,0
441,1,交岔路,機車,A2,0
442,0,交岔路,小客車,A2,2
443,2,交岔路,機車,A2,0
444,1,交岔路,機車,A2,0
445,2,單路部分,小貨車(含客、貨兩用),A2,3
446,0,交岔路,小客車,A2,2
447,2,交岔路,機車,A2,0
448,1,交岔路,小客車,A2,2
449,2,交岔路,機車,A2,0
450,0,交岔路,機車,A2,0
451,1,交岔路,機車,A2,0
452,1,交岔路,小客車,A2,2
453,1,交岔路,小客車,A2,2
454,1,交岔路,小客車,A2,2
455,2,交岔路,小貨車(含客、貨兩用),A2,2
456,1,交岔路,小客車,A2,2
457,1,單路部分,機車,A2,1
458,1,交岔路,機車,A2,0
459,0,交岔路,機車,A2,0
460,0,單路部分,機車,A2,1
461,0,交岔路,機車,A2,0
462,1,單路部分,機車,A2,1
463,2,交岔路,機車,A2,0
464,1,交岔路,機車,A2,0
